Date,Vertical,Author,Headline,Description
"JAN 01 2017, 08:25 IST",Business,"Mumbai, Dec 31, 2017, PTI,","NRIs can exchange defunct notes till June 30, others till Mar 31: RBI","RBI tonight came out with conditions for exchange of defunct notes for those, including non-resident Indians, who failed to do so till yesterday, the last day for depositing the invalid currency notes in banks.

Resident Indian citizens who were abroad from November 9 to December 30 can avail this facility up to March 31, 2017 and NRI citizens, who were abroad during this period, can exchange their defunct notes up to June 30, 2017, RBI said in a late evening statement.

""While there is no monetary limit for exchange for the eligible resident Indians, the limit for NRIs will be as per the relevant FEMA Regulations (Rs 25,000 per person),"" it said.

Citizens can avail this facility in their individual capacity once during the period on submission of ID documents, and on submission of documentary evidence showing they were abroad during the period and that they have not availed the exchange facility earlier, the RBI said.

The statement added that no third party tender will be accepted under the facility.

On fulfilment of the terms and conditions and the genuineness of the notes tendered, it said, adding admissible amount will be credited to the tenderer's KYC compliant bank account.

This facility will be available through Reserve Bank offices at Mumbai, New Delhi, Chennai, Kolkata and Nagpur.

According to RBI, Indian citizens resident in Nepal, Bhutan, Pakistan and Bangladesh cannot avail this facility.

""Any person, aggrieved by the decision of the Reserve Bank may prefer an appeal to the Central Board of the Reserve Bank within 14 days of the communication of such refusal to him,"" it said.

Such representations may be addressed to the Central Board, Reserve Bank of India, Secretary's Department, it added."
"JAN 01 2017, 10:23 IST",Business,"New Delhi, Jan 1, 2016, PTI,",Govt mulls 10 paise cess to provide social safety to coolies,"Railway coolies -- roughly 20,000 -- may soon be part of the social safety net as the government is weighing a cess of 10 paise on every rail ticket to bring them under the ambit of schemes run by retirement fund body EPFO.

This will be part of the government's overall efforts to bring over 40 crore unorganised sector workers under the social security net of the Employees' Provident Fund Organisation (EPFO).

A back-of-the-envelope calculation suggests that this will help mobilise about Rs 4.38 crore every year, which will be enough to provide basic minimum facilities like PF, pension and group insurance to coolies.

Indian Railways issues 10-12 lakh rail travel tickets everyday, including 58 per cent reserved tickets. Thus, the move can help mop up about Rs 1.2 lakh every day for the purpose.

Chairman of the Central Board of Trustees, EPFO's apex decision-making body, Labour Minister Bandaru Dattatreya assured the members to look into the proposal mooted by employee representative Ashok Singh.

Singh, the Vice-President of Indian National Trade Union Congress, had floated the proposal at the CBT meeting in Bengaluru on December 19.

A senior ministry official said, ""The labour ministry will soon take up the proposal with Indian Railways and the finance ministry for levying the cess, which will be a negligible amount for passengers, but would help bring these 20,000 workers under the social security net of EPFO.""

The official is hopeful that the cess could be announced in the forthcoming general budget, which is likely to be tabled in Parliament on February 1, 2017.

The proposed cess of 10 paise is on every ticket sold by Indian Railways. It will not be levied per passenger. One ticket sold by Indian Railways can have multiple passengers."
"JAN 01 2017, 14:54 IST",Business,"New Delhi, Jan 1, 2017 (PTI),",New Year bonanza: Jobs mkt eyes 8.75 L hiring in formal sector,"The New Year is expected to bring good news for job seekers with the country's organised sector set to generate about 8.75 lakh new jobs, though the average salary hike is likely to be in single digit, say experts.

The hiring outlook for India got a significant blow post- demonetisation and segments like real estate, construction, infrastructure and high-end automobiles are expected to be impacted in the longer term, experts said but will eventually benefit by creating more ""formal"" jobs.

According to the latest results of MyHiringClub.com & JobPortal.co.in Employment Trend Survey (MJETS) 2017, that covered 6,790 companies across 12 industry sectors in 21 major cities, the organised sector in India is set to create about 8.75 lakh new jobs in 2017.

""In current economical and political condition manufacturing & engineering sector is the top list to create more new jobs in 2017,"" Rajesh Kumar, CEO, MyHiringClub.com & JobPortal.co.in said. Kumar said that ""tier II and tier III cities will create more new jobs compare to metros with companies preferring to set-up their units in these cities compared to metros and attrition will be lowest in 2017 since last 5 years"".

As per survey, Indian employees are expected to see an overall projected salary increase of 9 per cent per cent. Projected salary increases were highest in the manufacturing and engineering sector at 9.9 per cent, followed by banking and financial services at 9.7 per cent, while the lowest sectorial increments were in hospitality sectors at 5.3 per cent.

Though overall job market outlook looks a little bleak, top performers would have little to worry as companies would look at retaining talent as they would want to avoid cost incurred in hiring new talent, experts said.

According to workforce solutions provider Kelly Services India Managing Director Thammaiah BN, more global product companies are expected to setup their offshore operations in India creating a demand for skilled resources.

""We also expect a boost in contract jobs and skilled employees will be sought after. Central government's programmes such as Digital India, Smart Cities will see more companies capitalising on this opportunity. We expect 30,000 – 50,000 new IT jobs being added in 2017,"" it said.

Moreover, process, industrial sectors will also see an increase in employment because of urban infrastructure growing and the focus on smart cities. Building materials, cements, automation and the plastic sector will also see an increase in employment. Overall, these sectors will create upwards of 1,50,000 jobs in 2017, Thammaiah added.

The two key factors that are likely to impact certain sectors in the New Year are the Centre's demonetisation move and the election of Donald Trump as US President.
Some experts said that with Trump's emphasis on bringing jobs back to the US, his anti-immigrant stand and his stated aversion for H-1B Visa might have a negative impact on the Indian IT industry.

""On the surface it may seem that some manufacturing jobs may move back to the US, I believe the net impact will be positive, as the investments are stepped up,"" Suresh Raina, Managing Partner Hunt Partners, leadership talent advisory firm said. Moreover, Trump's anti-China stand also helps improved focus on India, again a positive. Indian industry including chemical, pharmaceuticals and engineering will be positively impacted by this shift, Raina said.

Post demonetisation, the positive side would see banks able to source fresh capital to give more loans to companies and strengthen economic growth. Sectors with a positive outlook for hiring will be Fintech, Infrastructure, and Financial Services including both small savings and payment banks. ""Digital payments have taken off, download of wallets has quadrupled in last few weeks. Payment banks and others in the transaction ecosystem will benefit,"" Raina added.

HR experts believe, the sectors that are likely to be in focus next year include big data and analytics as companies would need help to make sense of all of the data generated by technological disruptions. With people moving towards Internet of things (IoT) and automation, other key segments that would be in focus would be information security, cyber security.

""The sectors where hiring will pick-up include Energy, Pharma, non-banking financial companies (NBFC), small and payment banks, infrastructure. Rewarding Top talent will also have a significant component of non cash element,"" Raina added."
"JAN 01 2017, 15:36 IST",Business,"New Delhi, Jan 1, 2017 (PTI),","Can't give info if FM, CEA consulted before demonetisation:RBI","Whether views of the Chief Economic Advisor and the Finance Minister were taken before the sudden announcement of demonetisation of high-value currency notes by Prime Minister Narendra Modi on November 8? The Reserve Bank of India feels this query cannot be answered under the Right to Information Act as it does not comes under the definition of information under the transparency law.

The applicant wanted to know whether the ""views of Chief Economic Advisor Arvind Subramaniam and Finance Minister Arun Jaitley were taken before announcement was made"". ""Query is in the nature of seeking opinion from CPIO which is not defined as information as per Section 2(f) of the RTI Act,"" the RBI said in response to an RTI query. Asked whether the information sought will fall under ""seeking opinion"" from the CPIO, former Chief Information Commissioner A N Tiwari said, ""No. It does not. It is a fact sought by an RTI applicant. The CPIO cannot say an opinion has been sought from him.""

""How it can be called seeking opinion? Whether someone was consulted or not is a matter of record. Had the question been that should views be taken then it would mean taking opinion,"" former Information Commissioner Shailesh Gandhi said, expressing surprise at the response of RBI Central Public Information Officer.

The definition of information covers ""any material in any form, including records, documents, memos, e-mails, opinions, advices, press releases, circulars, orders, logbooks, contracts, reports, papers, samples, models, data material held in any electronic form and information relating to any private body which can be accessed by a public authority under any other law for the time being in force"".

The query was also sent to the Prime Minister's Office and the Finance Ministry but it remained unanswered even after 30 days of filing of the RTI application. The applicant had also sought to know the designation and the names of officials who were consulted before scraping of old Rs 500 and Rs 1000 currency notes. ""The information sought relates to sensitive matters pertaining to discontinuation/withdrawal of bank notes. The information is exempt from disclosure under Section 8(1)(a) and (g) of RTI Act,"" the RBI said.

The monetary policy regulator also did not disclose if the decision to demonetise currency notes worth Rs 20 lakh crore was opposed by any official or minister, saying the information sought is ""hypothetical"" in nature. It also cited Section 8(1)(a) of the RTI Act to deny minutes of deliberations related to demonetisation. Section 8(1)(a) of the RTI Act exempts from disclosure the information which would prejudicially affect the sovereignty and integrity of India, the security, strategic, scientific or economic interests of the State, relation with foreign State or lead to incitement of an offence.

Information sought under Section 8(1)(g) would endanger the life or physical safety of any person or identify the source of information or assistance given in confidence for law enforcement or security purposes. The RBI has been denying information related to crucial aspects related to demonetisation citing exemption clauses. It recently refused to give reasons behind the demonetisation move.

Earlier, it had denied to Mumbai-based RTI Activist Anil Galgali information about distribution of currency to banks between November 9 and November 19 citing Section 8(1)(g) of the RTI Act. The central bank did not give any reason as to how this section would apply in the case of information sought by Galgali.

RTI Activist Venkatesh Nayak, who was also denied deliberations on demonetisation by the RBI, said: ""While confidentiality prior to announcing the demonetisation decision is understandable, continued secrecy after its implementation is difficult to understand when people are facing problems due to shortage of cash."" He said the refusal to disclose the minutes of the board meeting where the decision was taken is ""perplexing""."
"JAN 01 2017, 16:06 IST",Business,"New Delhi, Jan 1, 2017 (PTI),","Jan Dhan A/c deposits double to Rs 87K cr, I-T dissects data","Deposits in Jan Dhan account have more than doubled to Rs 87,000 crore in 45 days post demonetisation, prompting the tax department to ""dissect"" information relating to such deposits, a top government official said. Besides, the tax department also has data on small cash deposits between Rs 30,000-50,000 made in 4.86 lakh accounts totaling to Rs 2,000 crore.

Between November 10-December 23, the total deposits in Jan Dhan accounts reported is Rs 41,523 crore in 48 lakh accounts. This, together with the total deposits of Rs 45,637 crore as on November 9, takes the aggregate amount in Jan Dhan accounts to over Rs 87,100 crore. ""All these information received on Jan Dhan Accounts are being dissected. If it is found that money deposited in these accounts belong to some other persons, necessary action will be taken at appropriate time,"" the official told PTI.

Cash deposit between Rs 30,000 and Rs 50,000 have been reported in 4.86 lakh accounts till November 30, taking the total deposits in such quantum to Rs 2,022 crore. The official further said that inflows of funds into Jan Dhan accounts was the highest in the first week after demonetisation at Rs 20,224 crore, but after that the deposits went down substantially.

""The inflow of funds in Jan Dhan accounts after the first two weeks was below Rs 5,000 crore per week and thereafter it got reduced to about Rs 1,000 crore per week,"" the official said, adding that the deposits have come down significantly after the tax department warned people not to allow their accounts to be misused for converting black money into white.

Prime Minister Narendra Modi had on November 8 announced junking of old Rs 500 and Rs 1,000 notes, and replaced the currency with new Rs 2,000 and Rs 500 notes.
After setting a cash deposit limit of Rs 50,000 in Jan Dhan accounts, the government had on November 18 cautioned account holders that they will be prosecuted under the I-T Act for allowing misuse of their bank accounts through deposit of black money in Rs 500/1,000 notes during the 50-day window till December 30.

The directive came against the backdrop of reports that some are misusing other persons' bank accounts to convert their black money into new denomination notes. As per latest data available, Rs 12.10 lakh crore in form of old 500 and 1,000 rupee notes have returned into the banking system till December 12, 2016. It was estimated that now defunct notes constituted 86 per cent or Rs 15.45 lakh crore in circulation."
"JAN 01 2017, 19:49 IST",Business,"New Delhi, Jan 1, 2017 (PTI),","SBI, PNB, UBI cut base lending rate by up to 90 bps","Top PSU lenders State Bank, PNB and Union Bank today slashed their benchmark lending rates by up to 90 basis points, a day after Prime Minister Narendra Modi asked banks to priorities their lending towards the poor and middle class. The country's largest lender, SBI, has reduced marginal cost of funds based lending rate (MCLR) by 0.9 per cent from 8.90 per cent to 8 per cent for one-year tenure, the bank said in a statement.

Flushed with funds after demonetisation, the base interest rate for other tenures, including one month, three months and six months, has been slashed by 0.9 per cent. MCLR has been reduced by 0.9 percentage points to 8.10 per cent for two-year term and 8.15 per cent for three-year tenure. Other public sector lenders Punjab National Bank (PNB) and Union Bank of India (UBI) too have brought down the benchmark interest rate by up to 0.9 per cent.

PNB has cut its one-year MCLR rate by 0.7 per cent to 8.45 per cent from 9.15 per cent, effective today. Lending rate was moderated by similar percentage points for 3 years and 5 years period to 8.60 per cent and 8.75 per cent, respectively. Similarly, Union Bank of India has reduced its MCLR by 0.65-0.9 per cent to 8.65 per cent, effective today. The revised one-year MCLR stands at 8.65 per cent.

Welcoming rate reduction by banks, Economic Affairs Secretary Shaktikanta Das said in a tweet, ""Trend of interest rate reduction follows demonetisation. Banks have substantial quantum of low cost funds now."" ""Welcome reduction of interest rates by SBI. Loan disbursements expected to pick up. Positive for the economy,"" he added. Yesterday, the Prime Minister had asked banks to pay special attention towards the need of poor and middle class.

""While respecting the autonomy of the banks, I appeal to them to move beyond their traditional priorities, and keep the poor, the lower middle class, and the middle class at the focus of their activities,"" he had said. Last week, SBI's subsidiary State Bank of Travancore had announced reduction in the lending rate, followed by another public lender IDBI which cut base interest rate by up to 0.6 per cent. Banks have moved to MCLR as their new benchmark lending rate from June, replacing the base rate system for new borrowers. It is calculated on the marginal cost of borrowing and return on net worth for banks. It was introduced by RBI to ensure fair interest rates to borrowers as well as banks."
"JAN 01 2017, 20:55 IST",Business,"New Delhi, Jan 1, 2017 (PTI),","Petrol price hiked by Rs 1.29 a litre, diesel by 97 paise","Petrol price was today hiked by Rs 1.29 a litre -- the third increase in a month, and diesel rate was raised by 97 paise a litre -- the second hike in a fortnight. The increase in rates announced by oil firms is excluding state levies and the actual hike will be higher.

The actual hike after considering VAT would be Rs 1.66 a litre in Delhi for petrol and Rs 1.14 for diesel. The hike will be effective from midnight tonight. This is the third increase in petrol price in one month and the second in case of diesel in one fortnight.

Petrol price was on December 17 hiked by Rs 2.21 a litre and diesel by Rs 1.79 per litre, excluding local levies. The actual hike after considering VAT came to Rs 2.84 per litre in Delhi for petrol and Rs 2.11 for diesel.

After today's hike, petrol in Delhi will now cost Rs 70.60 a litre from tomorrow as compared to Rs 68.94 currently. Similarly, a litre of diesel will from tomorrow cost Rs 57.82, up from Rs 56.68.

Indian Oil Corp (IOC), Bharat Petroleum Corp (BPCL) and Hindustan Petroleum Corp (HPCL) revise rates on 1st and 16th of every month based on average international price in the previous fortnight.

""The current level of international product prices of petrol and diesel and Rupee-US Dollar exchange rate warrant increase in selling price of petrol and diesel, the impact of which is being passed on to the consumers with this price revision,"" IOC said in a statement.

It said the movement of prices in the international oil market and foreign exchange rate shall continue to be monitored closely and developing trends of the market will be reflected in future price changes."
"JAN 01 2017, 22:19 IST",Business,"Jan 02, 2017, New Delhi, PTI,",'Tremendous potential for domestic air cargo',"There is tremendous potential for domestic air cargo growth but “somehow the jigsaw puzzle” was never pieced together, Civil Aviation Minister Ashok Gajapathi Raju said as he rued that currently, cargo is only a minuscule part of Indian aviation sector.

Currently, Blue Dart and QuikJet are the only two domestic players operating cargo carriers.

Jet Airways had announced plans to set up a cargo airline in 2015, and had even got Government’s in-principle approval for leasing of a freighter from its strategic investment partner Etihad. However, the airline later shelved the plans, citing market conditions.

Raju said there is a need to motivate entities for air cargo operations.
Even as the domestic passenger growth has been over 20% for many months, cargo segment is lagging behind.

The national civil aviation policy has also given thrust to boosting air cargo business, especially against the backdrop of rising e-commerce activities and exports.

According to him, the world’s largest airline is FedEx, which is completely cargo, and even Indian aviation started with cargo. Raju added that targets are being set and the country is poised for good growth."
"JAN 01 2017, 22:21 IST",Business,"Jan 02, 2017, New Delhi, PTI,",Infosys ends employment of General Counsel," India’s second largest software services provider Infosys on Sunday said that its General Counsel and Chief Compliance Officer, David Kennedy, and the company, have “mutually agreed” to cease the former’s employment on December 31, 2016.

The company, however, did not disclose any reasons for the decision.
Infosys’ Deputy General Counsel, Gopi Krishnan, will assume Kennedy’s duties as acting General Counsel as the company conducts a search for a new General Counsel in the days to come.

The company further said that Kennedy was entitled to revoke his acceptance of the separation agreement within seven days of his signature of the agreement."
"JAN 01 2017, 22:21 IST",Business,"Jan 02, 2017, New Delhi, PTI,",Govt permits 12 PSBs to raise Rs 3K cr from market," In a bid to strengthen capital base of public sector banks (PSBs), the government has allowed 12 lenders to raise nearly Rs 3,000 crore via preferential shares over and above the Rs 22,915 crore capital support committed to them in July last year.

The Finance Ministry granted approval to 12 proposals of PSBs to raise a sum of Rs 2,914.038 crore through preferential allotment and permission given to raise Rs 200 crore by United Bank of India through QIP mode. The government had already infused a sum of Rs 25,000 crore in 19 PSBs during FY 2015-16.

“A budgetary provision of Rs 25,000 crore has been made for 2016-17 and the government has already allocated Rs 22,915 crore to 13 PSBs on July 19, 2016, of which, 75% has been allocated in first tranche, while the remaining amount will be released on assessment of the performance of PSBs, the Department of Finance said in its year-end review for 2016 on Sunday.

As regards consolidation in the banking space, it said that the Union Cabinet, in June 2016, had approved the proposal of acquisition of assets and liabilities of subsidiary banks i.e. State Bank of Bikaner & Jaipur, State Bank of Hyderabad, State Bank of Mysore, State Bank of Patiala, State Bank of Travancore and Bhartiya Mahila Bank.

Also, as on December 23, 2016, out of total requirement of 1,27,198 fixed location ‘bank mitras’ in sub service areas (SSAs), 1,26,985 ‘bank mitras’ have been deployed by banks.

Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) cumulative gross enrolment reported by banks, subject to verification of eligibility, etc. is over 3.08 crore, while Rs 9.88 crore under Pradhan Mantri Suraksha Bima Yojana (PMSBY), as of December 28. Around 38.23 lakh subscribers have been enrolled under the Atal Pension Yojana (APY) with a total pension wealth of Rs 1,344.70 crore. Out of the total subscribers, 19.74 lakh subscribers have been enrolled during 2016 (up to December 15, 2016)."
